[12:23:05] [info] Logger initialized.
[12:23:05] [info] Created window.
[12:23:05] [error] Failed to load font: ../assets/palatinolinotype_roman.ttf
[12:23:05] [info] CircleRenderer initialized with 64 segments.
[12:23:05] [info] SquareRenderer initialized with 5 segments.
[12:23:05] [warning] Glyph not found for character '6'
[12:23:05] [warning] Glyph not found for character '0'
[12:23:05] [warning] Glyph not found for character '6'
[12:23:05] [warning] Glyph not found for character '0'
[12:23:05] [warning] Glyph not found for character '6'
[12:23:05] [warning] Glyph not found for character '0'
[12:23:05] [warning] Glyph not found for character '5'
[12:23:05] [warning] Glyph not found for character '9'
[12:23:05] [warning] Glyph not found for character '5'
[12:23:05] [warning] Glyph not found for character '9'
[12:23:05] [warning] Glyph not found for character '5'
[12:23:05] [warning] Glyph not found for character '9'
[12:23:05] [warning] Glyph not found for character '8'
[12:23:05] [warning] Glyph not found for character '4'
[12:23:05] [warning] Glyph not found for character '8'
[12:23:05] [warning] Glyph not found for character '4'
[12:23:05] [warning] Glyph not found for character '8'
[12:23:05] [warning] Glyph not found for character '4'
[12:23:05] [warning] Glyph not found for character '6'
[12:23:05] [warning] Glyph not found for character '0'
[12:23:05] [warning] Glyph not found for character '6'
[12:23:05] [warning] Glyph not found for character '0'
[12:23:05] [warning] Glyph not found for character '6'
[12:23:05] [warning] Glyph not found for character '0'
[12:23:05] [warning] Glyph not found for character '7'
[12:23:05] [warning] Glyph not found for character '3'
[12:23:05] [warning] Glyph not found for character '7'
[12:23:05] [warning] Glyph not found for character '3'
[12:23:05] [warning] Glyph not found for character '7'
[12:23:05] [warning] Glyph not found for character '3'
[12:23:05] [warning] Glyph not found for character '3'
[12:23:05] [warning] Glyph not found for character '3'
[12:23:05] [warning] Glyph not found for character '3'
[12:23:05] [warning] Glyph not found for character '3'
[12:23:05] [warning] Glyph not found for character '1'
[12:23:05] [warning] Glyph not found for character '1'
[12:23:05] [warning] Glyph not found for character '1'
[12:23:05] [warning] Glyph not found for character '1'
[12:23:05] [warning] Glyph not found for character '4'
[12:23:05] [warning] Glyph not found for character '4'
[12:23:05] [warning] Glyph not found for character '4'
