[2025-12-23 22:23:17.318] [info] [:] Logging initialized.
[2025-12-23 22:23:17.641] [info] [:] Created window.
[2025-12-23 22:23:17.652] [info] [:] Created dsaViz context.
[2025-12-23 22:23:17.655] [info] [:] Setup input system.
[2025-12-23 22:23:17.802] [info] [:] Text rendering setup.
[2025-12-23 22:23:17.870] [info] [:] Starting main loop.
[2025-12-23 22:23:19.113] [info] [:] Playing audio file ../assets/subtleClick.mp3
[2025-12-23 22:23:19.690] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:20.200] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:20.579] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:20.990] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:21.423] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:21.688] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:22.023] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:22.816] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:23.200] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:23.771] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:24.044] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:24.325] [info] [:] Playing audio file ../assets/subtleClick.mp3
[2025-12-23 22:23:24.839] [info] [:] Playing audio file ../assets/subtleClick.mp3
[2025-12-23 22:23:25.925] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:28.091] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:28.339] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:28.645] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:29.082] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:29.301] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:29.578] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:29.797] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:30.501] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:30.757] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:30.944] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:31.181] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:31.378] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:31.733] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:31.889] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:32.222] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:32.412] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:32.966] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:33.369] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:33.767] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:36.618] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:43.077] [info] [:] Playing audio file ../assets/subtleClick.mp3
[2025-12-23 22:23:45.562] [info] [:] Playing audio file ../assets/subtleClick.mp3
[2025-12-23 22:23:47.251] [info] [:] Playing audio file ../assets/subtleClick.mp3
[2025-12-23 22:23:48.359] [info] [:] Playing audio file ../assets/subtleClick.mp3
[2025-12-23 22:23:50.312] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:56.969] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:57.593] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:58.104] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:58.588] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:23:58.968] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:24:04.607] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:24:06.244] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:24:14.171] [info] [:] Playing audio file ../assets/subtleClick.mp3
[2025-12-23 22:24:14.805] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:24:20.856] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:24:39.206] [info] [:] Playing audio file ../assets/cameraControlSound.mp3
[2025-12-23 22:25:22.552] [info] [:] Exited main loop.
[2025-12-23 22:25:22.674] [info] [:] Clean shutdown complete.
